"imageName","imageFile","imagePos","imageSize","soundName"
"img1","circle.png","[-0.25, -0.25]","[0.25,0.25]","A"
"img2","cross.png","[-0.25,-0.75]","[0.25,0.25]","B"
"img3","square.png","[-0.25, 0.25]","[0.25,0.25]","C"
"img4","triangle.png","[-0.25, 0.75]","[0.25,0.25]","D"
"img5","circle.png","[-0.75, -0.25]","[0.25,0.25]","D"
"img6","cross.png","[-0.75,-0.75]","[0.25,0.25]","A"
"img7","square.png","[-0.75, 0.25]","[0.25,0.25]","C"
"img8","triangle.png","[-0.75, 0.75]","[0.25,0.25]","B"
"img9","circle.png","[0.25, -0.25]","[0.25,0.25]","B"
"img10","cross.png","[0.25,-0.75]","[0.25,0.25]","C"
"img11","square.png","[0.25, 0.25]","[0.25,0.25]","A"
"img12","triangle.png","[0.25, 0.75]","[0.25,0.25]","D"
"img13","circle.png","[0.75, -0.25]","[0.25,0.25]","D"
"img14","cross.png","[0.75,-0.75]","[0.25,0.25]","A"
"img15","square.png","[0.75, 0.25]","[0.25,0.25]","B"
"img16","triangle.png","[0.75, 0.75]","[0.25,0.25]","C"
